City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
540,quartu sant'elena,39.2419,9.1839,58.03,62,20,6.91,IT,1703610174
541,freetown,8.484,-13.2299,82.17,64,32,7.85,SL,1703610175
544,tezu,27.9167,96.1667,61.38,50,1,3.76,IN,1703610178
547,obudu,6.6674,9.1716,85.6,23,100,2.8,NG,1703610180
548,dryden,49.7833,-92.7503,27.91,75,100,7.45,CA,1703610181
549,daxi,24.8837,121.2904,64.81,81,21,4.05,TW,1703610183
554,lewiston orchards,46.3804,-116.9754,39.87,84,100,5.75,US,1703610190
555,pandan,14.0453,124.1694,79.03,89,94,11.5,PH,1703610190
558,changzhi,35.2089,111.7386,32.14,75,1,2.13,CN,1703610193
560,yomju-up,39.8933,124.5981,14.23,89,89,7.34,KP,1703610194
561,sainte-menehould,49.0833,4.9,48.09,96,100,8.41,FR,1703610195
564,cova figueira,14.8905,-24.2934,71.26,75,3,13.33,CV,1703610197
